topology,p,seed,d_alg,true_edges,oracle_nonedges,oracle_nonedges_separator_within_d_alg,oracle_nonedges_unresolved_at_d_alg,oracle_nonedges_unresolved_at_d_alg_lower_bound,oracle_separator_coverage_fraction,oracle_separator_depth_max_found,oracle_separator_depth_mean_found,oracle_separator_candidate_sets_tested,oracle_depth_minimal_separator_calls,oracle_depth_pairs_checked,oracle_depth_audit_mode,oracle_depth_failure_witness_x,oracle_depth_failure_witness_y,oracle_search_depth_premise_satisfied
er_expected_degree_2,20,0,3,19,171,171.0,0.0,0,1.0,3.0,0.34502923976608185,0,171,171,exhaustive_pass,,,True
er_expected_degree_2,20,1,3,23,167,167.0,0.0,0,1.0,3.0,0.40119760479041916,0,170,167,exhaustive_pass,,,True
er_expected_degree_2,20,2,3,22,168,168.0,0.0,0,1.0,3.0,0.30357142857142855,0,171,168,exhaustive_pass,,,True
er_expected_degree_2,20,3,3,20,170,170.0,0.0,0,1.0,2.0,0.17058823529411765,0,170,170,exhaustive_pass,,,True
er_expected_degree_2,20,4,3,25,165,,,1,,,,37,2,1,early_exit_failure_witness,X14,X15,False
er_expected_degree_2,20,5,3,18,172,172.0,0.0,0,1.0,2.0,0.36627906976744184,0,172,172,exhaustive_pass,,,True
er_expected_degree_2,20,6,3,21,169,169.0,0.0,0,1.0,2.0,0.23668639053254437,0,169,169,exhaustive_pass,,,True
er_expected_degree_2,20,7,3,28,162,162.0,0.0,0,1.0,3.0,0.691358024691358,0,165,162,exhaustive_pass,,,True
er_expected_degree_2,20,8,3,19,171,171.0,0.0,0,1.0,1.0,0.14035087719298245,0,171,171,exhaustive_pass,,,True
er_expected_degree_2,20,9,3,32,158,,,1,,,,64,4,3,early_exit_failure_witness,X3,X9,False
er_expected_degree_2,50,0,3,65,1160,1160.0,0.0,0,1.0,3.0,0.35172413793103446,0,1167,1160,exhaustive_pass,,,True
er_expected_degree_2,50,1,3,58,1167,1167.0,0.0,0,1.0,3.0,0.16795201371036847,0,1173,1167,exhaustive_pass,,,True
er_expected_degree_2,50,2,3,53,1172,,,1,,,,37,26,25,early_exit_failure_witness,X31,X7,False
er_expected_degree_2,50,3,3,45,1180,1180.0,0.0,0,1.0,3.0,0.13644067796610168,0,1183,1180,exhaustive_pass,,,True
er_expected_degree_2,50,4,3,55,1170,1170.0,0.0,0,1.0,2.0,0.1452991452991453,0,1171,1170,exhaustive_pass,,,True
er_expected_degree_2,50,5,3,52,1173,1173.0,0.0,0,1.0,3.0,0.15942028985507245,0,1178,1173,exhaustive_pass,,,True
er_expected_degree_2,50,6,3,65,1160,1160.0,0.0,0,1.0,3.0,0.24482758620689654,0,1162,1160,exhaustive_pass,,,True
er_expected_degree_2,50,7,3,64,1161,1161.0,0.0,0,1.0,3.0,0.3488372093023256,0,1176,1161,exhaustive_pass,,,True
er_expected_degree_2,50,8,3,44,1181,1181.0,0.0,0,1.0,3.0,0.1397121083827265,0,1186,1181,exhaustive_pass,,,True
er_expected_degree_2,50,9,3,58,1167,1167.0,0.0,0,1.0,3.0,0.21679520137103683,0,1175,1167,exhaustive_pass,,,True
er_expected_degree_2,75,0,3,87,2688,2688.0,0.0,0,1.0,2.0,0.16555059523809523,0,2693,2688,exhaustive_pass,,,True
er_expected_degree_2,75,1,3,89,2686,2686.0,0.0,0,1.0,3.0,0.21667907669396871,0,2694,2686,exhaustive_pass,,,True
er_expected_degree_2,75,2,3,77,2698,2698.0,0.0,0,1.0,3.0,0.10748702742772424,0,2698,2698,exhaustive_pass,,,True
er_expected_degree_2,75,3,3,67,2708,2708.0,0.0,0,1.0,2.0,0.051698670605613,0,2708,2708,exhaustive_pass,,,True
er_expected_degree_2,75,4,3,69,2706,2706.0,0.0,0,1.0,2.0,0.09127864005912786,0,2707,2706,exhaustive_pass,,,True
er_expected_degree_2,75,5,3,64,2711,2711.0,0.0,0,1.0,2.0,0.07856879380302471,0,2716,2711,exhaustive_pass,,,True
er_expected_degree_2,75,6,3,93,2682,2682.0,0.0,0,1.0,3.0,0.3284862043251305,0,2704,2682,exhaustive_pass,,,True
er_expected_degree_2,75,7,3,82,2693,2693.0,0.0,0,1.0,3.0,0.19309320460453028,0,2706,2693,exhaustive_pass,,,True
er_expected_degree_2,75,8,3,73,2702,2702.0,0.0,0,1.0,3.0,0.10103626943005181,0,2716,2702,exhaustive_pass,,,True
er_expected_degree_2,75,9,3,88,2687,2687.0,0.0,0,1.0,3.0,0.2407889839970227,0,2702,2687,exhaustive_pass,,,True
er_expected_degree_2,100,0,3,101,4849,4849.0,0.0,0,1.0,2.0,0.05691895236131161,0,4852,4849,exhaustive_pass,,,True
