evaluation_scope,topology,p,gamma,missingness_mode,missing_rate_target,alpha_schedule,n_graph_cells,n_graph_seeds,precision_mean,precision_lo95,precision_hi95,precision_halfwidth95,recall_mean,recall_lo95,recall_hi95,recall_halfwidth95,f1_mean,f1_lo95,f1_hi95,f1_halfwidth95,exact_recovery_mean,exact_recovery_lo95,exact_recovery_hi95,exact_recovery_halfwidth95,fp_mean,fp_lo95,fp_hi95,fp_halfwidth95,fn_mean,fn_lo95,fn_hi95,fn_halfwidth95,trace_ci_tests_mean,trace_ci_tests_lo95,trace_ci_tests_hi95,trace_ci_tests_halfwidth95,trace_ci_n_eff_min_mean,trace_ci_n_eff_min_lo95,trace_ci_n_eff_min_hi95,trace_ci_n_eff_min_halfwidth95,trace_ci_n_eff_median_mean,trace_ci_n_eff_median_lo95,trace_ci_n_eff_median_hi95,trace_ci_n_eff_median_halfwidth95,trace_ci_effective_fraction_mean_mean,trace_ci_effective_fraction_mean_lo95,trace_ci_effective_fraction_mean_hi95,trace_ci_effective_fraction_mean_halfwidth95,runtime_seconds_mean,runtime_seconds_lo95,runtime_seconds_hi95,runtime_seconds_halfwidth95,oracle_separator_coverage_fraction_mean,oracle_separator_coverage_fraction_lo95,oracle_separator_coverage_fraction_hi95,oracle_separator_coverage_fraction_halfwidth95,oracle_pc_dependent_partial_corr_q05_mean,oracle_pc_dependent_partial_corr_q05_lo95,oracle_pc_dependent_partial_corr_q05_hi95,oracle_pc_dependent_partial_corr_q05_halfwidth95
dedicated_local,er_expected_degree_2,20,1.0,complete,0.0,n_inverse_half,10,10,0.9199999999999999,0.888181530648256,0.9518184693517439,0.03181846935174393,0.9673333333333332,0.9392584508056743,0.995408215860992,0.028074882527658884,0.9329242424242423,0.9056245501041984,0.9602239347442862,0.027299692320043922,0.7,0.5693942953109216,0.8306057046890784,0.1306057046890784,0.22000000000000003,0.12581888697508412,0.3141811130249159,0.0941811130249159,0.14,0.022213251682702703,0.2577867483172973,0.1177867483172973,76.77,49.96206318083861,103.57793681916138,26.807936819161384,1000.0,1000.0,1000.0,0.0,1000.0,1000.0,1000.0,0.0,1.0,1.0,1.0,0.0,0.48146761416999195,0.2722784543913254,0.6906567739486584,0.2091891597786665,1.0,1.0,1.0,0.0,0.0838303956713607,0.0650999070431568,0.10256088429956461,0.01873048862820391
dedicated_local,er_expected_degree_2,20,1.0,self_masking_gaussian_preserving,0.3,n_inverse_half,10,10,0.96,0.92392437408438,0.9960756259156199,0.03607562591561997,0.9403333333333332,0.8939906261996695,0.986676040466997,0.04634270713366373,0.9413210678210678,0.9009887641270448,0.9816533715150909,0.040332303694023075,0.76,0.6084373458563355,0.9115626541436646,0.15156265414366454,0.1,-0.00663911132828876,0.20663911132828877,0.10663911132828877,0.22999999999999998,0.04824365296227695,0.411756347037723,0.18175634703772303,61.54,44.329088335355905,78.7509116646441,17.210911664644094,287.9599999999999,273.6497543897221,302.27024561027775,14.310245610277832,404.01500000000004,381.21476962789416,426.81523037210593,22.800230372105887,0.4052764861471105,0.39177168256236494,0.418781289731856,0.01350480358474554,0.3371752094100747,0.22096817795768153,0.4533822408624679,0.1162070314523932,1.0,1.0,1.0,0.0,0.0838303956713607,0.0650999070431568,0.10256088429956461,0.01873048862820391
dedicated_local,er_expected_degree_2,20,1.0,self_masking_logistic_population,0.3,n_inverse_half,10,10,0.96,0.932928690797093,0.987071309202907,0.027071309202907012,0.9428333333333333,0.9020012050730617,0.9836654615936049,0.040832128260271605,0.9432178932178932,0.9085748443843936,0.9778609420513927,0.03464304883349956,0.75,0.6020442376083047,0.8979557623916953,0.14795576239169528,0.1,0.02459476124005984,0.17540523875994019,0.07540523875994018,0.22999999999999998,0.06462340051853274,0.3953765994814672,0.1653765994814672,60.77999999999999,43.76500211066947,77.7949978893305,17.014997889330516,283.07,265.3014134743084,300.8385865256916,17.768586525691603,406.38499999999993,380.81995470971924,431.9500452902806,25.565045290280693,0.40553027636434,0.38959986179555606,0.421460690933124,0.015930414568783968,0.3511001324399694,0.21836927120982,0.48383099367011884,0.13273086123014943,1.0,1.0,1.0,0.0,0.08383039567136069,0.06509990704315678,0.1025608842995646,0.01873048862820391
dedicated_local,er_expected_degree_2,50,1.0,complete,0.0,n_inverse_half,10,10,0.9330714285714284,0.8974706512503026,0.9686722058925543,0.035600777321125876,0.9841547619047619,0.9728170456483567,0.9954924781611671,0.011337716256405228,0.9492587967587968,0.9231754374128641,0.9753421561047294,0.026083359345932644,0.7500000000000001,0.6227013056136703,0.8772986943863299,0.1272986943863298,0.20000000000000004,0.11077931828650373,0.28922068171349635,0.08922068171349631,0.07999999999999999,0.02357188627848343,0.13642811372151653,0.05642811372151655,182.59,124.65970803919501,240.520291960805,57.93029196080499,2500.0,2500.0,2500.0,0.0,2500.0,2500.0,2500.0,0.0,1.0,1.0,1.0,0.0,1.0949270775700006,0.6481020860693175,1.5417520690706836,0.44682499150068306,1.0,1.0,1.0,0.0,,,,
dedicated_local,er_expected_degree_2,50,1.0,self_masking_gaussian_preserving,0.3,n_inverse_half,10,10,0.9625,0.9414235950341465,0.9835764049658535,0.0210764049658535,0.9721309523809525,0.9545982231853655,0.9896636815765395,0.017532729195587016,0.9597661227661227,0.9446569141738437,0.9748753313584018,0.015109208592279044,0.79,0.7188628400280501,0.86113715997195,0.07113715997194991,0.09,0.037216332868041886,0.14278366713195811,0.05278366713195812,0.13999999999999999,0.05603227977234321,0.22396772022765676,0.08396772022765678,145.89999999999998,116.50878286581134,175.29121713418863,29.391217134188643,691.61,671.4080246009406,711.8119753990594,20.201975399059393,1045.1750000000002,1011.3342442740818,1079.0157557259186,33.84075572591837,0.41514059153826743,0.40821119953857915,0.4220699835379557,0.0069293919996882836,0.8040760710699898,0.577030581405827,1.0311215607341526,0.22704548966416283,1.0,1.0,1.0,0.0,,,,
dedicated_local,er_expected_degree_2,50,1.0,self_masking_logistic_population,0.3,n_inverse_half,10,10,0.9427380952380953,0.9174640986167073,0.9680120918594832,0.025273996621387962,0.9545357142857144,0.9272445914995733,0.9818268370718555,0.027291122786141098,0.9381542901542902,0.9135030929205339,0.9628054873880465,0.024651197233756306,0.7100000000000001,0.6119731896120779,0.8080268103879222,0.09802681038792216,0.14,0.07967580899204789,0.20032419100795212,0.06032419100795212,0.2,0.07841270590907407,0.32158729409092596,0.12158729409092595,143.94,110.84819468665438,177.03180531334561,33.09180531334562,673.3100000000001,644.3464276776477,702.2735723223524,28.96357232235232,1048.315,1012.1891888083601,1084.44081119164,36.12581119163997,0.4142837257568285,0.40478718729981983,0.42378026421383713,0.009496538457008652,0.8217026131300145,0.568612766829272,1.074792459430757,0.2530898463007425,1.0,1.0,1.0,0.0,,,,
dedicated_local,random_regular_d2,20,1.0,complete,0.0,n_inverse_half,10,10,0.9866666666666667,0.969993941053741,1.0033393922795923,0.016672725612925654,1.0,1.0,1.0,0.0,0.992,0.9819963646322446,1.0020036353677555,0.010003635367755448,0.96,0.9099818231612229,1.010018176838777,0.05001817683877707,0.04,-0.010018176838777072,0.09001817683877708,0.05001817683877707,0.0,0.0,0.0,0.0,33.64,30.14861530083638,37.13138469916362,3.4913846991636195,1000.0,1000.0,1000.0,0.0,1000.0,1000.0,1000.0,0.0,1.0,1.0,1.0,0.0,0.15139945600999452,0.1276455405604075,0.17515337145958154,0.02375391544958702,1.0,1.0,1.0,0.0,0.15183201506606137,0.11944090281897626,0.18422312731314647,0.0323911122470851
dedicated_local,random_regular_d2,20,1.0,self_masking_gaussian_preserving,0.3,n_inverse_half,10,10,0.9966666666666667,0.9891261427906727,1.0042071905426608,0.007540523875994076,1.0,1.0,1.0,0.0,0.998,0.9934756856744036,1.0025243143255964,0.0045243143255964124,0.99,0.9673784283720179,1.012621571627982,0.022621571627982062,0.01,-0.012621571627982045,0.03262157162798204,0.022621571627982045,0.0,0.0,0.0,0.0,32.18000000000001,29.917139164416565,34.442860835583446,2.2628608355834405,325.59000000000003,316.7781339905467,334.4018660094534,8.811866009453354,454.88500000000005,443.17740417177924,466.59259582822085,11.707595828220803,0.4361480245437705,0.4281059648947364,0.4441900841928046,0.008042059649034095,0.1591224979200842,0.1342403154978879,0.1840046803422805,0.02488218242219631,1.0,1.0,1.0,0.0,0.1518320150660614,0.11944090281897629,0.1842231273131465,0.0323911122470851
dedicated_local,random_regular_d2,20,1.0,self_masking_logistic_population,0.3,n_inverse_half,10,10,0.9849999999999998,0.9707260186763035,0.999273981323696,0.014273981323696283,0.9949999999999999,0.9836892141860089,1.006310785813991,0.011310785813991087,0.9890000000000001,0.9771012540237283,1.000898745976272,0.01189874597627183,0.96,0.9230591282210819,0.996940871778918,0.03694087177891803,0.04,0.003059128221082015,0.07694087177891798,0.036940871778917986,0.01,-0.012621571627982045,0.03262157162798204,0.022621571627982045,31.360000000000003,28.794182316382464,33.92581768361754,2.565817683617537,320.08000000000004,314.26295621513157,325.8970437848685,5.817043784868474,457.68,445.9727908875964,469.38720911240364,11.707209112403632,0.4370817356365082,0.42891726332799845,0.44524620794501796,0.008164472308509751,0.1519423106199565,0.11671702549220549,0.18716759574770753,0.03522528512775102,1.0,1.0,1.0,0.0,0.15183201506606137,0.11944090281897626,0.18422312731314647,0.0323911122470851
dedicated_local,random_regular_d2,50,1.0,complete,0.0,n_inverse_half,10,10,0.97,0.9491212348109215,0.9908787651890785,0.020878765189078496,1.0,1.0,1.0,0.0,0.982,0.9694727408865529,0.9945272591134471,0.012527259113447098,0.9099999999999999,0.8473637044327645,0.9726362955672353,0.06263629556723538,0.09,0.027363704432764605,0.1526362955672354,0.0626362955672354,0.0,0.0,0.0,0.0,65.38,62.25167300976374,68.50832699023624,3.12832699023625,2500.0,2500.0,2500.0,0.0,2500.0,2500.0,2500.0,0.0,1.0,1.0,1.0,0.0,0.26722010191002477,0.22469226165592313,0.3097479421641264,0.042527840254101626,1.0,1.0,1.0,0.0,,,,
