evaluation_scope,topology,p,missingness_mode,missing_rate_target,alpha_schedule,contrast,left,right,paired_seeds,precision_delta_mean,precision_delta_lo95,precision_delta_hi95,precision_delta_halfwidth95,precision_paired_n,recall_delta_mean,recall_delta_lo95,recall_delta_hi95,recall_delta_halfwidth95,recall_paired_n,f1_delta_mean,f1_delta_lo95,f1_delta_hi95,f1_delta_halfwidth95,f1_paired_n,exact_recovery_delta_mean,exact_recovery_delta_lo95,exact_recovery_delta_hi95,exact_recovery_delta_halfwidth95,exact_recovery_paired_n,fp_delta_mean,fp_delta_lo95,fp_delta_hi95,fp_delta_halfwidth95,fp_paired_n,fn_delta_mean,fn_delta_lo95,fn_delta_hi95,fn_delta_halfwidth95,fn_paired_n,trace_ci_tests_delta_mean,trace_ci_tests_delta_lo95,trace_ci_tests_delta_hi95,trace_ci_tests_delta_halfwidth95,trace_ci_tests_paired_n,trace_ci_n_eff_min_delta_mean,trace_ci_n_eff_min_delta_lo95,trace_ci_n_eff_min_delta_hi95,trace_ci_n_eff_min_delta_halfwidth95,trace_ci_n_eff_min_paired_n,trace_ci_n_eff_median_delta_mean,trace_ci_n_eff_median_delta_lo95,trace_ci_n_eff_median_delta_hi95,trace_ci_n_eff_median_delta_halfwidth95,trace_ci_n_eff_median_paired_n,trace_ci_effective_fraction_mean_delta_mean,trace_ci_effective_fraction_mean_delta_lo95,trace_ci_effective_fraction_mean_delta_hi95,trace_ci_effective_fraction_mean_delta_halfwidth95,trace_ci_effective_fraction_mean_paired_n,runtime_seconds_delta_mean,runtime_seconds_delta_lo95,runtime_seconds_delta_hi95,runtime_seconds_delta_halfwidth95,runtime_seconds_paired_n,gamma
global_whole_skeleton,er_expected_degree_2,20,complete,0.0,n_inverse_half,gamma_1.25_minus_1.0,1.0,1.25,10,0.009783549783549783,-0.017795096445838453,0.03736219601293802,0.027578646229388236,10,0.0,0.0,0.0,0.0,10,0.005149714899841773,-0.009237881983027885,0.019537311782711432,0.014387596882869658,10,0.1,-0.30606963804360443,0.5060696380436044,0.4060696380436044,10,-0.2,-0.7642811372151657,0.3642811372151657,0.5642811372151657,10,0.0,0.0,0.0,0.0,10,4.5,-16.192522011421513,25.192522011421513,20.692522011421513,10,-204.0,-204.0,-204.0,0.0,10,-204.0,-204.0,-204.0,0.0,10,0.0,0.0,0.0,0.0,10,0.4860388524001108,-0.23372453146061178,1.2058022362608334,0.7197633838607226,10,
global_whole_skeleton,er_expected_degree_2,20,self_masking_gaussian_preserving,0.3,n_inverse_half,gamma_1.25_minus_1.0,1.0,1.25,10,-0.015858395989974915,-0.034213876399184,0.002497084419234172,0.018355480409209087,10,-0.015125,-0.042405554781169405,0.012155554781169406,0.027280554781169405,10,-0.015489506778590267,-0.030137507966578228,-0.0008415055906023042,0.014648001187987963,10,-0.1,-0.3262157162798205,0.12621571627982048,0.22621571627982048,10,0.3,-0.045550214413643764,0.6455502144136438,0.34555021441364375,10,0.4,-0.2911004288272876,1.0911004288272876,0.6911004288272876,10,-35.3,-74.64397949855191,4.043979498551913,39.34397949855191,10,-37.5,-42.53862748125525,-32.46137251874475,5.038627481255247,10,-71.7,-73.63866267603346,-69.76133732396654,1.9386626760334578,10,0.002185153061046169,-0.0012460964787887243,0.005616402600881062,0.0034312495398348933,10,-0.7317327777000401,-1.3482493469658903,-0.11521620843419,0.6165165692658501,10,
global_whole_skeleton,er_expected_degree_2,20,self_masking_logistic_population,0.3,n_inverse_half,gamma_1.25_minus_1.0,1.0,1.25,10,-0.002321428571428574,-0.022598350851652117,0.017955493708794967,0.02027692228022354,10,-0.020050125313283207,-0.050335024578099546,0.010234773951533133,0.03028489926481634,10,-0.012028858054849833,-0.0359790284135303,0.011921312303830641,0.023950170358680474,10,-0.1,-0.3262157162798205,0.12621571627982048,0.22621571627982048,10,0.0,-0.33722247945365624,0.33722247945365624,0.33722247945365624,10,0.4,-0.2032419100795213,1.0032419100795213,0.6032419100795213,10,-47.9,-84.63628389277352,-11.163716107226477,36.73628389277352,10,-35.6,-41.264936185263835,-29.935063814736164,5.664936185263836,10,-68.0,-70.5682098897159,-65.4317901102841,2.5682098897158996,10,0.004861033553711319,0.0021417048115496837,0.007580362295872954,0.002719328742161635,10,-0.14709207299997598,-0.5463299901694111,0.2521458441694592,0.39923791716943513,10,
global_whole_skeleton,er_expected_degree_2,50,complete,0.0,n_inverse_half,gamma_1.25_minus_1.0,1.0,1.25,10,0.0,0.0,0.0,0.0,10,0.0,0.0,0.0,0.0,10,0.0,0.0,0.0,0.0,10,0.0,0.0,0.0,0.0,10,0.0,0.0,0.0,0.0,10,0.0,0.0,0.0,0.0,10,0.0,0.0,0.0,0.0,10,0.0,0.0,0.0,0.0,10,0.0,0.0,0.0,0.0,10,0.0,0.0,0.0,0.0,10,1.8568518901999376,-2.5590030005628375,6.272706780962713,4.415854890762775,10,
global_whole_skeleton,er_expected_degree_2,50,self_masking_gaussian_preserving,0.3,n_inverse_half,gamma_1.25_minus_1.0,1.0,1.25,10,0.0,0.0,0.0,0.0,10,0.0,0.0,0.0,0.0,10,0.0,0.0,0.0,0.0,10,0.0,0.0,0.0,0.0,10,0.0,0.0,0.0,0.0,10,0.0,0.0,0.0,0.0,10,0.0,0.0,0.0,0.0,10,0.0,0.0,0.0,0.0,10,0.0,0.0,0.0,0.0,10,0.0,0.0,0.0,0.0,10,1.6428976637999537,-1.207169430056739,4.4929647576566465,2.8500670938566928,10,
global_whole_skeleton,er_expected_degree_2,50,self_masking_logistic_population,0.3,n_inverse_half,gamma_1.25_minus_1.0,1.0,1.25,10,0.0,0.0,0.0,0.0,10,0.0,0.0,0.0,0.0,10,0.0,0.0,0.0,0.0,10,0.0,0.0,0.0,0.0,10,0.0,0.0,0.0,0.0,10,0.0,0.0,0.0,0.0,10,0.0,0.0,0.0,0.0,10,0.0,0.0,0.0,0.0,10,0.0,0.0,0.0,0.0,10,0.0,0.0,0.0,0.0,10,0.18600471269996816,-1.8929713996487945,2.2649808250487307,2.0789761123487627,10,
global_whole_skeleton,er_expected_degree_2,75,complete,0.0,n_inverse_half,gamma_1.25_minus_1.0,1.0,1.25,10,-0.002503102850822925,-0.023398457166153474,0.01839225146450762,0.020895354315330548,10,-0.0013698630136986245,-0.0044687084421893035,0.0017289824147920544,0.003098845428490679,10,-0.0019962277678599594,-0.01369008327283753,0.009697627737117612,0.011693855504977571,10,0.1,-0.12621571627982048,0.3262157162798205,0.22621571627982048,10,0.2,-1.6408764812817767,2.0408764812817766,1.8408764812817766,10,0.1,-0.12621571627982048,0.3262157162798205,0.22621571627982048,10,40.1,-16.61902663927001,96.81902663927002,56.71902663927001,10,401.0,401.0,401.0,0.0,10,401.0,401.0,401.0,0.0,10,0.0,0.0,0.0,0.0,10,-1.3180941435000038,-3.4749408632794028,0.8387525762793953,2.156846719779399,10,
global_whole_skeleton,er_expected_degree_2,75,self_masking_gaussian_preserving,0.3,n_inverse_half,gamma_1.25_minus_1.0,1.0,1.25,10,-0.0037462661800217955,-0.00811680894335075,0.0006242765833071591,0.0043705427633289546,10,0.0011363636363636465,-0.0014342695031797908,0.003706996775907084,0.0025706331395434373,10,-0.0012503446416564311,-0.004033578298620022,0.00153288901530716,0.002783233656963591,10,0.0,0.0,0.0,0.0,10,0.3,-0.045550214413643764,0.6455502144136438,0.34555021441364375,10,-0.1,-0.3262157162798205,0.12621571627982048,0.22621571627982048,10,89.0,17.931612549467644,160.06838745053236,71.06838745053236,10,65.4,59.035511958442534,71.76448804155748,6.364488041557472,10,153.95,134.91226777014847,172.9877322298515,19.03773222985151,10,-0.0009635225254909452,-0.0017986008239090948,-0.0001284442270727956,0.0008350782984181496,10,1.9635095289001125,-3.2915637431728744,7.218582800973099,5.255073272072987,10,
global_whole_skeleton,er_expected_degree_2,75,self_masking_logistic_population,0.3,n_inverse_half,gamma_1.25_minus_1.0,1.0,1.25,10,-0.0013315977941923407,-0.00612393938975552,0.0034607438013708382,0.004792341595563179,10,-0.0011235955056180026,-0.003665345126739638,0.0014181541155036327,0.0025417496211216353,10,-0.0011873639160459581,-0.002919977446149064,0.0005452496140571478,0.001732613530103106,10,0.0,0.0,0.0,0.0,10,0.1,-0.3060696380436043,0.5060696380436043,0.4060696380436043,10,0.1,-0.12621571627982048,0.3262157162798205,0.22621571627982048,10,79.2,-17.12634839515043,175.52634839515042,96.32634839515043,10,62.6,57.17082280928431,68.0291771907157,5.429177190715691,10,154.3,133.5641077500047,175.03589224999533,20.73589224999532,10,-0.000880213541672814,-0.002006727210626358,0.0002463001272807302,0.0011265136689535442,10,1.5260141012000088,-2.8482857121790457,5.900313914579064,4.3742998133790545,10,
global_whole_skeleton,er_expected_degree_2,100,complete,0.0,n_inverse_half,gamma_1.25_minus_1.0,1.0,1.25,10,0.0043575436751738805,-0.009814631194409562,0.018529718544757323,0.014172174869583443,10,0.0,0.0,0.0,0.0,10,0.0023814001659330673,-0.0050959804915553,0.009858780823421434,0.007477380657488367,10,0.0,0.0,0.0,0.0,10,-0.5,-2.0906752542355695,1.0906752542355695,1.5906752542355695,10,0.0,0.0,0.0,0.0,10,71.3,-106.83074849952801,249.43074849952802,178.130748499528,10,947.0,947.0,947.0,0.0,10,947.0,947.0,947.0,0.0,10,0.0,0.0,0.0,0.0,10,1.689759198300178,-15.240344979057335,18.61986337565769,16.930104177357514,10,
