evaluation_scope,topology,p,gamma,missingness_mode,missing_rate_target,alpha_schedule,n_graph_cells,f1_halfwidth95,needs_more_seeds
global_whole_skeleton,er_expected_degree_2,20,1.0,complete,0.0,n_inverse_half,20,0.020983622757267673,False
global_whole_skeleton,er_expected_degree_2,20,1.0,self_masking_gaussian_preserving,0.3,n_inverse_half,20,0.021685436968697503,False
global_whole_skeleton,er_expected_degree_2,20,1.0,self_masking_logistic_population,0.3,n_inverse_half,20,0.021775817848949153,False
global_whole_skeleton,er_expected_degree_2,20,1.25,complete,0.0,n_inverse_half,20,0.021445124393009902,False
global_whole_skeleton,er_expected_degree_2,20,1.25,self_masking_gaussian_preserving,0.3,n_inverse_half,20,0.02137531815552587,False
global_whole_skeleton,er_expected_degree_2,20,1.25,self_masking_logistic_population,0.3,n_inverse_half,20,0.02591927344974564,False
global_whole_skeleton,er_expected_degree_2,50,1.0,complete,0.0,n_inverse_half,20,0.008811944930529137,False
global_whole_skeleton,er_expected_degree_2,50,1.0,self_masking_gaussian_preserving,0.3,n_inverse_half,20,0.008790133589092622,False
global_whole_skeleton,er_expected_degree_2,50,1.0,self_masking_logistic_population,0.3,n_inverse_half,20,0.011746911018873958,False
global_whole_skeleton,er_expected_degree_2,50,1.25,complete,0.0,n_inverse_half,20,0.008811944930529137,False
global_whole_skeleton,er_expected_degree_2,50,1.25,self_masking_gaussian_preserving,0.3,n_inverse_half,20,0.008790133589092622,False
global_whole_skeleton,er_expected_degree_2,50,1.25,self_masking_logistic_population,0.3,n_inverse_half,20,0.011746911018873957,False
global_whole_skeleton,er_expected_degree_2,75,1.0,complete,0.0,n_inverse_half,20,0.007136260003371452,False
global_whole_skeleton,er_expected_degree_2,75,1.0,self_masking_gaussian_preserving,0.3,n_inverse_half,20,0.007183546433729928,False
global_whole_skeleton,er_expected_degree_2,75,1.0,self_masking_logistic_population,0.3,n_inverse_half,20,0.007285238177971269,False
global_whole_skeleton,er_expected_degree_2,75,1.25,complete,0.0,n_inverse_half,20,0.009200413184601408,False
global_whole_skeleton,er_expected_degree_2,75,1.25,self_masking_gaussian_preserving,0.3,n_inverse_half,20,0.007172559848539051,False
global_whole_skeleton,er_expected_degree_2,75,1.25,self_masking_logistic_population,0.3,n_inverse_half,20,0.007400012917044991,False
global_whole_skeleton,er_expected_degree_2,100,1.0,complete,0.0,n_inverse_half,20,0.007853285668538526,False
global_whole_skeleton,er_expected_degree_2,100,1.0,self_masking_gaussian_preserving,0.3,n_inverse_half,20,0.004267065327707427,False
global_whole_skeleton,er_expected_degree_2,100,1.0,self_masking_logistic_population,0.3,n_inverse_half,20,0.004285839417475593,False
global_whole_skeleton,er_expected_degree_2,100,1.25,complete,0.0,n_inverse_half,20,0.007809426885203005,False
global_whole_skeleton,er_expected_degree_2,100,1.25,self_masking_gaussian_preserving,0.3,n_inverse_half,20,0.00441744637502763,False
global_whole_skeleton,er_expected_degree_2,100,1.25,self_masking_logistic_population,0.3,n_inverse_half,20,0.005108067395327119,False
global_whole_skeleton,er_expected_degree_2,150,1.0,complete,0.0,n_inverse_half,20,0.004495538891910228,False
global_whole_skeleton,er_expected_degree_2,150,1.0,self_masking_gaussian_preserving,0.3,n_inverse_half,20,0.0025641310800247176,False
global_whole_skeleton,er_expected_degree_2,150,1.0,self_masking_logistic_population,0.3,n_inverse_half,20,0.003521301176656011,False
global_whole_skeleton,er_expected_degree_2,150,1.25,complete,0.0,n_inverse_half,20,0.00496114228534823,False
global_whole_skeleton,er_expected_degree_2,150,1.25,self_masking_gaussian_preserving,0.3,n_inverse_half,20,0.002433686293024502,False
global_whole_skeleton,er_expected_degree_2,150,1.25,self_masking_logistic_population,0.3,n_inverse_half,20,0.002453032179871372,False
global_whole_skeleton,random_regular_d2,20,1.0,complete,0.0,n_inverse_half,20,0.011055395526698906,False
global_whole_skeleton,random_regular_d2,20,1.0,self_masking_gaussian_preserving,0.3,n_inverse_half,20,0.007890434206355343,False
global_whole_skeleton,random_regular_d2,20,1.0,self_masking_logistic_population,0.3,n_inverse_half,20,0.006954755832525687,False
global_whole_skeleton,random_regular_d2,20,1.25,complete,0.0,n_inverse_half,20,0.00981553527852368,False
global_whole_skeleton,random_regular_d2,20,1.25,self_masking_gaussian_preserving,0.3,n_inverse_half,20,0.00836427850997131,False
global_whole_skeleton,random_regular_d2,20,1.25,self_masking_logistic_population,0.3,n_inverse_half,20,0.008987036983835541,False
global_whole_skeleton,random_regular_d2,50,1.0,complete,0.0,n_inverse_half,20,0.0044344423895306415,False
global_whole_skeleton,random_regular_d2,50,1.0,self_masking_gaussian_preserving,0.3,n_inverse_half,20,0.0014407420491093887,False
global_whole_skeleton,random_regular_d2,50,1.0,self_masking_logistic_population,0.3,n_inverse_half,20,0.0019113687643444633,False
global_whole_skeleton,random_regular_d2,50,1.25,complete,0.0,n_inverse_half,20,0.0044344423895306415,False
global_whole_skeleton,random_regular_d2,50,1.25,self_masking_gaussian_preserving,0.3,n_inverse_half,20,0.0014407420491093887,False
global_whole_skeleton,random_regular_d2,50,1.25,self_masking_logistic_population,0.3,n_inverse_half,20,0.001911368764344463,False
global_whole_skeleton,random_regular_d2,75,1.0,complete,0.0,n_inverse_half,20,0.004075117234208135,False
global_whole_skeleton,random_regular_d2,75,1.0,self_masking_gaussian_preserving,0.3,n_inverse_half,20,0.001732115891625407,False
global_whole_skeleton,random_regular_d2,75,1.0,self_masking_logistic_population,0.3,n_inverse_half,20,0.002362959263972036,False
global_whole_skeleton,random_regular_d2,75,1.25,complete,0.0,n_inverse_half,20,0.003906564003525515,False
global_whole_skeleton,random_regular_d2,75,1.25,self_masking_gaussian_preserving,0.3,n_inverse_half,20,0.0016509239993295103,False
global_whole_skeleton,random_regular_d2,75,1.25,self_masking_logistic_population,0.3,n_inverse_half,20,0.002378239651987822,False
global_whole_skeleton,random_regular_d2,100,1.0,complete,0.0,n_inverse_half,20,0.003216406365335573,False
global_whole_skeleton,random_regular_d2,100,1.0,self_masking_gaussian_preserving,0.3,n_inverse_half,20,0.0009603843137875643,False
global_whole_skeleton,random_regular_d2,100,1.0,self_masking_logistic_population,0.3,n_inverse_half,20,0.0010984250201353874,False
global_whole_skeleton,random_regular_d2,100,1.25,complete,0.0,n_inverse_half,20,0.0038792491958960975,False
global_whole_skeleton,random_regular_d2,100,1.25,self_masking_gaussian_preserving,0.3,n_inverse_half,20,0.001038607292653341,False
global_whole_skeleton,random_regular_d2,100,1.25,self_masking_logistic_population,0.3,n_inverse_half,20,0.0009603843137875643,False
global_whole_skeleton,random_regular_d2,150,1.0,complete,0.0,n_inverse_half,20,0.003430847397778658,False
global_whole_skeleton,random_regular_d2,150,1.0,self_masking_gaussian_preserving,0.3,n_inverse_half,20,0.0009150703364304062,False
global_whole_skeleton,random_regular_d2,150,1.0,self_masking_logistic_population,0.3,n_inverse_half,20,0.0008153034214314085,False
global_whole_skeleton,random_regular_d2,150,1.25,complete,0.0,n_inverse_half,20,0.00207075060072275,False
global_whole_skeleton,random_regular_d2,150,1.25,self_masking_gaussian_preserving,0.3,n_inverse_half,20,0.0,False
global_whole_skeleton,random_regular_d2,150,1.25,self_masking_logistic_population,0.3,n_inverse_half,20,0.00047857739147922636,False
global_whole_skeleton,scale_free_m2,20,1.0,complete,0.0,n_inverse_half,20,0.022796309930408473,False
global_whole_skeleton,scale_free_m2,20,1.0,self_masking_gaussian_preserving,0.3,n_inverse_half,20,0.028204485110942142,False
global_whole_skeleton,scale_free_m2,20,1.0,self_masking_logistic_population,0.3,n_inverse_half,20,0.021894949628546434,False
global_whole_skeleton,scale_free_m2,20,1.25,complete,0.0,n_inverse_half,20,0.0227234438577278,False
global_whole_skeleton,scale_free_m2,20,1.25,self_masking_gaussian_preserving,0.3,n_inverse_half,20,0.027550011428258858,False
global_whole_skeleton,scale_free_m2,20,1.25,self_masking_logistic_population,0.3,n_inverse_half,20,0.024438337453812537,False
global_whole_skeleton,scale_free_m2,50,1.0,complete,0.0,n_inverse_half,20,0.016196757189205012,False
global_whole_skeleton,scale_free_m2,50,1.0,self_masking_gaussian_preserving,0.3,n_inverse_half,20,0.01929637634934017,False
global_whole_skeleton,scale_free_m2,50,1.0,self_masking_logistic_population,0.3,n_inverse_half,20,0.021373546909015488,False
global_whole_skeleton,scale_free_m2,50,1.25,complete,0.0,n_inverse_half,20,0.016196757189205012,False
global_whole_skeleton,scale_free_m2,50,1.25,self_masking_gaussian_preserving,0.3,n_inverse_half,20,0.01929637634934017,False
global_whole_skeleton,scale_free_m2,50,1.25,self_masking_logistic_population,0.3,n_inverse_half,20,0.021373546909015485,False
global_whole_skeleton,scale_free_m2,75,1.0,complete,0.0,n_inverse_half,20,0.01629801596496172,False
global_whole_skeleton,scale_free_m2,75,1.0,self_masking_gaussian_preserving,0.3,n_inverse_half,20,0.017652422628677226,False
global_whole_skeleton,scale_free_m2,75,1.0,self_masking_logistic_population,0.3,n_inverse_half,20,0.017055202851710874,False
global_whole_skeleton,scale_free_m2,75,1.25,complete,0.0,n_inverse_half,20,0.015009483148470858,False
global_whole_skeleton,scale_free_m2,75,1.25,self_masking_gaussian_preserving,0.3,n_inverse_half,20,0.017748852974272134,False
global_whole_skeleton,scale_free_m2,75,1.25,self_masking_logistic_population,0.3,n_inverse_half,20,0.016567298843903445,False
global_whole_skeleton,small_world_k2,20,1.0,complete,0.0,n_inverse_half,20,0.008538870148301805,False
global_whole_skeleton,small_world_k2,20,1.0,self_masking_gaussian_preserving,0.3,n_inverse_half,20,0.0036936357650063,False
global_whole_skeleton,small_world_k2,20,1.0,self_masking_logistic_population,0.3,n_inverse_half,20,0.0036936357650063,False
global_whole_skeleton,small_world_k2,20,1.25,complete,0.0,n_inverse_half,20,0.007774014185908555,False
global_whole_skeleton,small_world_k2,20,1.25,self_masking_gaussian_preserving,0.3,n_inverse_half,20,0.00432621111304032,False
global_whole_skeleton,small_world_k2,20,1.25,self_masking_logistic_population,0.3,n_inverse_half,20,0.004866178627312162,False
global_whole_skeleton,small_world_k2,50,1.0,complete,0.0,n_inverse_half,20,0.004090584881192956,False
global_whole_skeleton,small_world_k2,50,1.0,self_masking_gaussian_preserving,0.3,n_inverse_half,20,0.0014407420491093887,False
global_whole_skeleton,small_world_k2,50,1.0,self_masking_logistic_population,0.3,n_inverse_half,20,0.0017205359059696106,False
global_whole_skeleton,small_world_k2,50,1.25,complete,0.0,n_inverse_half,20,0.004090584881192957,False
global_whole_skeleton,small_world_k2,50,1.25,self_masking_gaussian_preserving,0.3,n_inverse_half,20,0.0014407420491093887,False
global_whole_skeleton,small_world_k2,50,1.25,self_masking_logistic_population,0.3,n_inverse_half,20,0.0017205359059696106,False
global_whole_skeleton,small_world_k2,75,1.0,complete,0.0,n_inverse_half,20,0.004208862358404768,False
global_whole_skeleton,small_world_k2,75,1.0,self_masking_gaussian_preserving,0.3,n_inverse_half,20,0.0015255165514174837,False
global_whole_skeleton,small_world_k2,75,1.0,self_masking_logistic_population,0.3,n_inverse_half,20,0.0020497634184261085,False
global_whole_skeleton,small_world_k2,75,1.25,complete,0.0,n_inverse_half,20,0.004228377354861656,False
