evaluation_scope,topology,p,gamma,missingness_mode,missing_rate_target,alpha_schedule,n_graph_cells,f1_halfwidth95,needs_more_seeds
global_whole_skeleton,random_regular_d2,50,1.0,self_masking_gaussian_preserving,0.1,n_inverse_half,10,0.0037329326118782707,False
global_whole_skeleton,random_regular_d2,50,1.0,self_masking_gaussian_preserving,0.3,n_inverse_half,10,0.0022397595671269626,False
global_whole_skeleton,random_regular_d2,50,1.0,self_masking_gaussian_preserving,0.5,n_inverse_half,10,0.002285007235149691,False
global_whole_skeleton,random_regular_d2,100,1.0,self_masking_gaussian_preserving,0.1,n_inverse_half,10,0.002452725217542694,False
global_whole_skeleton,random_regular_d2,100,1.0,self_masking_gaussian_preserving,0.3,n_inverse_half,10,0.001724942080685587,False
global_whole_skeleton,random_regular_d2,100,1.0,self_masking_gaussian_preserving,0.5,n_inverse_half,10,0.0011367623933659621,False
global_whole_skeleton,small_world_k2,50,1.0,self_masking_gaussian_preserving,0.1,n_inverse_half,10,0.004750875414235488,False
global_whole_skeleton,small_world_k2,50,1.0,self_masking_gaussian_preserving,0.3,n_inverse_half,10,0.0022397595671269626,False
global_whole_skeleton,small_world_k2,50,1.0,self_masking_gaussian_preserving,0.5,n_inverse_half,10,0.005133350723032409,False
global_whole_skeleton,small_world_k2,100,1.0,self_masking_gaussian_preserving,0.1,n_inverse_half,10,0.0055184478121902214,False
global_whole_skeleton,small_world_k2,100,1.0,self_masking_gaussian_preserving,0.3,n_inverse_half,10,0.0,False
global_whole_skeleton,small_world_k2,100,1.0,self_masking_gaussian_preserving,0.5,n_inverse_half,10,0.0017307013034929244,False
target_restriction_of_global,random_regular_d2,50,1.0,self_masking_gaussian_preserving,0.1,n_inverse_half,10,0.0060324191007951845,False
target_restriction_of_global,random_regular_d2,50,1.0,self_masking_gaussian_preserving,0.3,n_inverse_half,10,0.0,False
target_restriction_of_global,random_regular_d2,50,1.0,self_masking_gaussian_preserving,0.5,n_inverse_half,10,0.007540523875994038,False
target_restriction_of_global,random_regular_d2,100,1.0,self_masking_gaussian_preserving,0.1,n_inverse_half,10,0.006911004288272843,False
target_restriction_of_global,random_regular_d2,100,1.0,self_masking_gaussian_preserving,0.3,n_inverse_half,10,0.004524314325596389,False
target_restriction_of_global,random_regular_d2,100,1.0,self_masking_gaussian_preserving,0.5,n_inverse_half,10,0.0,False
target_restriction_of_global,small_world_k2,50,1.0,self_masking_gaussian_preserving,0.1,n_inverse_half,10,0.009048628651192816,False
target_restriction_of_global,small_world_k2,50,1.0,self_masking_gaussian_preserving,0.3,n_inverse_half,10,0.0,False
target_restriction_of_global,small_world_k2,50,1.0,self_masking_gaussian_preserving,0.5,n_inverse_half,10,0.005259647089376481,False
target_restriction_of_global,small_world_k2,100,1.0,self_masking_gaussian_preserving,0.1,n_inverse_half,10,0.0060324191007951845,False
target_restriction_of_global,small_world_k2,100,1.0,self_masking_gaussian_preserving,0.3,n_inverse_half,10,0.0,False
target_restriction_of_global,small_world_k2,100,1.0,self_masking_gaussian_preserving,0.5,n_inverse_half,10,0.0032316530897117095,False
