evaluation_scope,topology,p,gamma,missingness_mode,missing_rate_target,alpha_schedule,n_graph_cells,f1_halfwidth95,needs_more_seeds
global_whole_skeleton,er_expected_degree_2,50,1.0,complete,0.0,fixed_005,10,0.019604750608632406,False
global_whole_skeleton,er_expected_degree_2,50,1.0,complete,0.0,n_inverse_half,10,0.01030306386750065,False
global_whole_skeleton,er_expected_degree_2,50,1.0,self_masking_gaussian_preserving,0.3,fixed_005,10,0.012004992049095307,False
global_whole_skeleton,er_expected_degree_2,50,1.0,self_masking_gaussian_preserving,0.3,n_inverse_half,10,0.011879121038354559,False
global_whole_skeleton,er_expected_degree_2,50,1.0,self_masking_logistic_population,0.3,fixed_005,10,0.017402964686649806,False
global_whole_skeleton,er_expected_degree_2,50,1.0,self_masking_logistic_population,0.3,n_inverse_half,10,0.02093679893307617,False
global_whole_skeleton,er_expected_degree_2,100,1.0,complete,0.0,fixed_005,10,0.025459865734380537,False
global_whole_skeleton,er_expected_degree_2,100,1.0,complete,0.0,n_inverse_half,10,0.01289803272627849,False
global_whole_skeleton,er_expected_degree_2,100,1.0,self_masking_gaussian_preserving,0.3,fixed_005,10,0.00531893490955419,False
global_whole_skeleton,er_expected_degree_2,100,1.0,self_masking_gaussian_preserving,0.3,n_inverse_half,10,0.005087341716264611,False
global_whole_skeleton,er_expected_degree_2,100,1.0,self_masking_logistic_population,0.3,fixed_005,10,0.005973128100006959,False
global_whole_skeleton,er_expected_degree_2,100,1.0,self_masking_logistic_population,0.3,n_inverse_half,10,0.005293166246950189,False
global_whole_skeleton,random_regular_d2,50,1.0,complete,0.0,fixed_005,10,0.017929848638872866,False
global_whole_skeleton,random_regular_d2,50,1.0,complete,0.0,n_inverse_half,10,0.00860369379271588,False
global_whole_skeleton,random_regular_d2,50,1.0,self_masking_gaussian_preserving,0.3,fixed_005,10,0.0029863460895026167,False
global_whole_skeleton,random_regular_d2,50,1.0,self_masking_gaussian_preserving,0.3,n_inverse_half,10,0.0022397595671269626,False
global_whole_skeleton,random_regular_d2,50,1.0,self_masking_logistic_population,0.3,fixed_005,10,0.0034212892516202772,False
global_whole_skeleton,random_regular_d2,50,1.0,self_masking_logistic_population,0.3,n_inverse_half,10,0.0034212892516202772,False
global_whole_skeleton,random_regular_d2,100,1.0,complete,0.0,fixed_005,10,0.006555762837470626,False
global_whole_skeleton,random_regular_d2,100,1.0,complete,0.0,n_inverse_half,10,0.005210906636119641,False
global_whole_skeleton,random_regular_d2,100,1.0,self_masking_gaussian_preserving,0.3,fixed_005,10,0.0023964117514723225,False
global_whole_skeleton,random_regular_d2,100,1.0,self_masking_gaussian_preserving,0.3,n_inverse_half,10,0.001724942080685587,False
global_whole_skeleton,random_regular_d2,100,1.0,self_masking_logistic_population,0.3,fixed_005,10,0.0020134177435140324,False
global_whole_skeleton,random_regular_d2,100,1.0,self_masking_logistic_population,0.3,n_inverse_half,10,0.001724942080685587,False
global_whole_skeleton,small_world_k2,50,1.0,complete,0.0,fixed_005,10,0.00933799480723166,False
global_whole_skeleton,small_world_k2,50,1.0,complete,0.0,n_inverse_half,10,0.0036575120573186575,False
global_whole_skeleton,small_world_k2,50,1.0,self_masking_gaussian_preserving,0.3,fixed_005,10,0.005964739512589512,False
global_whole_skeleton,small_world_k2,50,1.0,self_masking_gaussian_preserving,0.3,n_inverse_half,10,0.0022397595671269626,False
global_whole_skeleton,small_world_k2,50,1.0,self_masking_logistic_population,0.3,fixed_005,10,0.0029863460895026167,False
global_whole_skeleton,small_world_k2,50,1.0,self_masking_logistic_population,0.3,n_inverse_half,10,0.0022397595671269626,False
global_whole_skeleton,small_world_k2,100,1.0,complete,0.0,fixed_005,10,0.010224118380649783,False
global_whole_skeleton,small_world_k2,100,1.0,complete,0.0,n_inverse_half,10,0.006233052436043458,False
global_whole_skeleton,small_world_k2,100,1.0,self_masking_gaussian_preserving,0.3,fixed_005,10,0.0020126763672069672,False
global_whole_skeleton,small_world_k2,100,1.0,self_masking_gaussian_preserving,0.3,n_inverse_half,10,0.0,False
global_whole_skeleton,small_world_k2,100,1.0,self_masking_logistic_population,0.3,fixed_005,10,0.003100147585914475,False
global_whole_skeleton,small_world_k2,100,1.0,self_masking_logistic_population,0.3,n_inverse_half,10,0.0015006017663669617,False
target_restriction_of_global,er_expected_degree_2,50,1.0,complete,0.0,fixed_005,10,0.021422655122383616,False
target_restriction_of_global,er_expected_degree_2,50,1.0,complete,0.0,n_inverse_half,10,0.013082531677890944,False
target_restriction_of_global,er_expected_degree_2,50,1.0,self_masking_gaussian_preserving,0.3,fixed_005,10,0.010128247316125676,False
target_restriction_of_global,er_expected_degree_2,50,1.0,self_masking_gaussian_preserving,0.3,n_inverse_half,10,0.012890644526027782,False
target_restriction_of_global,er_expected_degree_2,50,1.0,self_masking_logistic_population,0.3,fixed_005,10,0.019019139023389208,False
target_restriction_of_global,er_expected_degree_2,50,1.0,self_masking_logistic_population,0.3,n_inverse_half,10,0.023885580852824037,False
target_restriction_of_global,er_expected_degree_2,100,1.0,complete,0.0,fixed_005,10,0.03917513367766967,False
target_restriction_of_global,er_expected_degree_2,100,1.0,complete,0.0,n_inverse_half,10,0.017353126753204696,False
target_restriction_of_global,er_expected_degree_2,100,1.0,self_masking_gaussian_preserving,0.3,fixed_005,10,0.00991482517943165,False
target_restriction_of_global,er_expected_degree_2,100,1.0,self_masking_gaussian_preserving,0.3,n_inverse_half,10,0.007690790187533818,False
target_restriction_of_global,er_expected_degree_2,100,1.0,self_masking_logistic_population,0.3,fixed_005,10,0.011891908766250634,False
target_restriction_of_global,er_expected_degree_2,100,1.0,self_masking_logistic_population,0.3,n_inverse_half,10,0.0036506726717652352,False
target_restriction_of_global,random_regular_d2,50,1.0,complete,0.0,fixed_005,10,0.017128777588435458,False
target_restriction_of_global,random_regular_d2,50,1.0,complete,0.0,n_inverse_half,10,0.009656582238663673,False
target_restriction_of_global,random_regular_d2,50,1.0,self_masking_gaussian_preserving,0.3,fixed_005,10,0.0,False
target_restriction_of_global,random_regular_d2,50,1.0,self_masking_gaussian_preserving,0.3,n_inverse_half,10,0.0,False
target_restriction_of_global,random_regular_d2,50,1.0,self_masking_logistic_population,0.3,fixed_005,10,0.004524314325596389,False
target_restriction_of_global,random_regular_d2,50,1.0,self_masking_logistic_population,0.3,n_inverse_half,10,0.004524314325596389,False
target_restriction_of_global,random_regular_d2,100,1.0,complete,0.0,fixed_005,10,0.021381075337982034,False
target_restriction_of_global,random_regular_d2,100,1.0,complete,0.0,n_inverse_half,10,0.006911004288272843,False
target_restriction_of_global,random_regular_d2,100,1.0,self_masking_gaussian_preserving,0.3,fixed_005,10,0.009048628651192827,False
target_restriction_of_global,random_regular_d2,100,1.0,self_masking_gaussian_preserving,0.3,n_inverse_half,10,0.004524314325596389,False
target_restriction_of_global,random_regular_d2,100,1.0,self_masking_logistic_population,0.3,fixed_005,10,0.007388174355783563,False
target_restriction_of_global,random_regular_d2,100,1.0,self_masking_logistic_population,0.3,n_inverse_half,10,0.004524314325596389,False
target_restriction_of_global,small_world_k2,50,1.0,complete,0.0,fixed_005,10,0.018916548012479707,False
target_restriction_of_global,small_world_k2,50,1.0,complete,0.0,n_inverse_half,10,0.004524314325596389,False
target_restriction_of_global,small_world_k2,50,1.0,self_masking_gaussian_preserving,0.3,fixed_005,10,0.013904039021201043,False
target_restriction_of_global,small_world_k2,50,1.0,self_masking_gaussian_preserving,0.3,n_inverse_half,10,0.0,False
target_restriction_of_global,small_world_k2,50,1.0,self_masking_logistic_population,0.3,fixed_005,10,0.004524314325596389,False
target_restriction_of_global,small_world_k2,50,1.0,self_masking_logistic_population,0.3,n_inverse_half,10,0.0,False
target_restriction_of_global,small_world_k2,100,1.0,complete,0.0,fixed_005,10,0.023604326377321853,False
target_restriction_of_global,small_world_k2,100,1.0,complete,0.0,n_inverse_half,10,0.011116413422132801,False
target_restriction_of_global,small_world_k2,100,1.0,self_masking_gaussian_preserving,0.3,fixed_005,10,0.004524314325596389,False
target_restriction_of_global,small_world_k2,100,1.0,self_masking_gaussian_preserving,0.3,n_inverse_half,10,0.0,False
target_restriction_of_global,small_world_k2,100,1.0,self_masking_logistic_population,0.3,fixed_005,10,0.0060324191007951845,False
target_restriction_of_global,small_world_k2,100,1.0,self_masking_logistic_population,0.3,n_inverse_half,10,0.0,False
