evaluation_scope,topology,p,gamma,alpha_schedule,contrast,left,right,paired_seeds,precision_delta_mean,precision_delta_lo95,precision_delta_hi95,precision_delta_halfwidth95,precision_paired_n,recall_delta_mean,recall_delta_lo95,recall_delta_hi95,recall_delta_halfwidth95,recall_paired_n,f1_delta_mean,f1_delta_lo95,f1_delta_hi95,f1_delta_halfwidth95,f1_paired_n,exact_recovery_delta_mean,exact_recovery_delta_lo95,exact_recovery_delta_hi95,exact_recovery_delta_halfwidth95,exact_recovery_paired_n,fp_delta_mean,fp_delta_lo95,fp_delta_hi95,fp_delta_halfwidth95,fp_paired_n,fn_delta_mean,fn_delta_lo95,fn_delta_hi95,fn_delta_halfwidth95,fn_paired_n,trace_ci_tests_delta_mean,trace_ci_tests_delta_lo95,trace_ci_tests_delta_hi95,trace_ci_tests_delta_halfwidth95,trace_ci_tests_paired_n,trace_ci_n_eff_min_delta_mean,trace_ci_n_eff_min_delta_lo95,trace_ci_n_eff_min_delta_hi95,trace_ci_n_eff_min_delta_halfwidth95,trace_ci_n_eff_min_paired_n,trace_ci_n_eff_median_delta_mean,trace_ci_n_eff_median_delta_lo95,trace_ci_n_eff_median_delta_hi95,trace_ci_n_eff_median_delta_halfwidth95,trace_ci_n_eff_median_paired_n,trace_ci_effective_fraction_mean_delta_mean,trace_ci_effective_fraction_mean_delta_lo95,trace_ci_effective_fraction_mean_delta_hi95,trace_ci_effective_fraction_mean_delta_halfwidth95,trace_ci_effective_fraction_mean_paired_n,runtime_seconds_delta_mean,runtime_seconds_delta_lo95,runtime_seconds_delta_hi95,runtime_seconds_delta_halfwidth95,runtime_seconds_paired_n,missingness_mode,missing_rate_target
global_whole_skeleton,er_expected_degree_2,50,1.0,fixed_005,quadratic_minus_complete,complete,self_masking_gaussian_preserving,10,0.07845387316156519,0.04762946222379465,0.10927828409933572,0.03082441093777054,10,-0.02031438389197008,-0.03530369048897908,-0.005325077294961084,0.014989306597008995,10,0.03037982753269052,0.008969804490875775,0.05178985057450526,0.021410023041814743,10,0.0,0.0,0.0,0.0,10,-4.7,-6.45388111556969,-2.946118884430311,1.7538811155696892,10,1.2,0.25818886975084077,2.141811130249159,0.9418111302491592,10,-1124.6,-1613.9709601348209,-635.2290398651791,489.37096013482085,10,-2104.2,-2113.1271650401864,-2095.2728349598133,8.927165040186567,10,-1627.2,-1632.582898974097,-1621.8171010259032,5.38289897409681,10,-0.6281371886486236,-0.6389882681133024,-0.6172861091839447,0.010851079464678936,10,-7.341864559600346,-11.100226119510635,-3.583502999690056,3.75836155991029,10,,
global_whole_skeleton,er_expected_degree_2,50,1.0,n_inverse_half,quadratic_minus_complete,complete,self_masking_gaussian_preserving,10,0.02172065123146679,0.00546512806865752,0.03797617439427606,0.01625552316280927,10,-0.02197092777911742,-0.039732364527708744,-0.004209491030526095,0.017761436748591326,10,-0.0006648043740394849,-0.014530897415810847,0.013201288667731877,0.013866093041771362,10,0.0,0.0,0.0,0.0,10,-1.2,-2.0793686396570705,-0.3206313603429293,0.8793686396570707,10,1.3,0.17902053668676343,2.4209794633132367,1.1209794633132366,10,-893.0,-1336.121244987638,-449.87875501236203,443.12124498763797,10,-2104.2,-2113.1271650401864,-2095.2728349598133,8.927165040186567,10,-1621.9,-1629.6813676108698,-1614.1186323891304,7.7813676108696805,10,-0.6210693578109839,-0.6331129970462833,-0.6090257185756845,0.012043639235299388,10,-6.344277744299825,-11.149600483036386,-1.538955005563265,4.80532273873656,10,,
global_whole_skeleton,er_expected_degree_2,100,1.0,fixed_005,quadratic_minus_complete,complete,self_masking_gaussian_preserving,10,0.15363744734586068,0.11773657602567014,0.18953831866605123,0.035900871320190535,10,-0.008009349524801446,-0.013369559754299747,-0.002649139295303144,0.005360210229498302,10,0.08141067222405812,0.057104250454606105,0.10571709399351015,0.024306421769452018,10,0.0,0.0,0.0,0.0,10,-19.0,-22.903632422110054,-15.096367577889946,3.903632422110053,10,0.9,0.27363704432764613,1.526362955672354,0.6263629556723539,10,-3112.6,-4186.283605036682,-2038.916394963318,1073.683605036682,10,-4187.6,-4203.287914495059,-4171.912085504941,15.687914495059184,10,-3181.1,-3332.68383016885,-3029.51616983115,151.5838301688498,10,-0.6066951916109207,-0.6203296489143014,-0.5930607343075399,0.01363445730338072,10,-23.20789254509996,-33.320062293128615,-13.095722797071303,10.112169748028656,10,,
global_whole_skeleton,er_expected_degree_2,100,1.0,n_inverse_half,quadratic_minus_complete,complete,self_masking_gaussian_preserving,10,0.04873822382901927,0.02962894836625184,0.0678474992917867,0.019109275462767427,10,-0.011564591134765701,-0.020347428918155854,-0.002781753351375548,0.008782837783390153,10,0.019453755942679674,0.005959121965306688,0.03294838992005266,0.013494633977372985,10,0.2,-0.10162095503976065,0.5016209550397607,0.30162095503976066,10,-5.2,-7.009725730238564,-3.390274269761436,1.8097257302385639,10,1.3,0.28552626654393465,2.314473733456065,1.0144737334560654,10,-1756.1,-2684.845816726137,-827.3541832738629,928.745816726137,10,-4185.7,-4199.879593756425,-4171.520406243575,14.179593756424671,10,-2980.0,-3223.148164891985,-2736.851835108015,243.14816489198503,10,-0.5943187010900055,-0.6101971133931275,-0.5784402887868835,0.01587841230312203,10,-13.889946649899594,-20.234875387196624,-7.545017912602562,6.344928737297032,10,,
global_whole_skeleton,random_regular_d2,50,1.0,fixed_005,quadratic_minus_complete,complete,self_masking_gaussian_preserving,10,0.05586014554110262,0.02172106617320934,0.0899992249089959,0.03413907936789328,10,0.0,0.0,0.0,0.0,10,0.02937408618428957,0.011054120626773984,0.04769405174180516,0.018319965557515586,10,0.6,0.2305912822108201,0.9694087177891799,0.3694087177891799,10,-3.1,-5.079297747271397,-1.1207022527286026,1.9792977472713975,10,0.0,0.0,0.0,0.0,10,-138.6,-224.1264287956506,-53.07357120434936,85.52642879565063,10,-1904.9,-1921.1058121070355,-1888.6941878929647,16.205812107035445,10,-1295.9,-1300.090930642497,-1291.7090693575033,4.190930642496751,10,-0.5674253579364082,-0.5707946084547244,-0.5640561074180921,0.0033692505183161125,10,-0.816743690800058,-2.1740506473170536,0.5405632657169372,1.3573069565169953,10,,
global_whole_skeleton,random_regular_d2,50,1.0,n_inverse_half,quadratic_minus_complete,complete,self_masking_gaussian_preserving,10,0.01713591419473769,-0.0012608012891287684,0.03553262967860415,0.01839671548386646,10,0.0,0.0,0.0,0.0,10,0.008777235189582334,-0.000711569330733618,0.018266039709898284,0.009488804520315952,10,0.5,-0.005833719180484476,1.0058337191804845,0.5058337191804845,10,-0.9,-1.8802681038792222,0.08026810387922223,0.9802681038792223,10,0.0,0.0,0.0,0.0,10,-38.2,-78.24266681115233,1.842666811152334,40.04266681115234,10,-1839.7,-1915.5803408453316,-1763.8196591546684,75.88034084533162,10,-1285.65,-1288.5215934661007,-1282.7784065338994,2.8715934661005384,10,-0.5534751948510227,-0.5564011476311164,-0.550549242070929,0.0029259527800936896,10,-0.22244373310036272,-1.4986110102288748,1.0537235440281492,1.276167277128512,10,,
global_whole_skeleton,random_regular_d2,100,1.0,fixed_005,quadratic_minus_complete,complete,self_masking_gaussian_preserving,10,0.11815498081641022,0.1058897675919646,0.13042019404085586,0.01226521322444563,10,-0.0010000000000000009,-0.003262157162798208,0.0012621571627982062,0.002262157162798207,10,0.06272976094564342,0.05586547811632281,0.06959404377496403,0.006864282829320614,10,0.4,0.03059128221082008,0.76940871778918,0.36940871778917994,10,-13.6,-15.152688897930322,-12.047311102069678,1.5526888979303224,10,0.1,-0.12621571627982048,0.3262157162798205,0.22621571627982048,10,-1017.1,-1190.5613727497698,-843.6386272502302,173.46137274976982,10,-3819.7,-3832.567810648855,-3806.8321893511447,12.867810648855134,10,-2575.5,-2578.1175503412724,-2572.8824496587276,2.617550341272258,10,-0.560607350932877,-0.5616208959069641,-0.5595938059587898,0.0010135449740871127,10,-5.884456885599957,-7.996128270991475,-3.7727855002084385,2.1116713853915186,10,,
global_whole_skeleton,random_regular_d2,100,1.0,n_inverse_half,quadratic_minus_complete,complete,self_masking_gaussian_preserving,10,0.0146105101658081,0.00460216419562102,0.024618856135995182,0.01000834597018708,10,0.0,0.0,0.0,0.0,10,0.0073938685759248005,0.0023348234205983597,0.012452913731251241,0.005059045155326441,10,0.4,-0.10018176838777082,0.9001817683877709,0.5001817683877708,10,-1.5,-2.5256221311974807,-0.4743778688025191,1.025622131197481,10,0.0,0.0,0.0,0.0,10,-95.5,-146.4063553648918,-44.59364463510819,50.90635536489181,10,-3631.7,-3793.035160536907,-3470.3648394630927,161.33516053690715,10,-2561.55,-2564.6610944123777,-2558.4389055876227,3.111094412377594,10,-0.5391113860211177,-0.5399245303147633,-0.5382982417274722,0.0008131442936455265,10,0.021639460999675463,-0.8670087240090876,0.9102876460084386,0.8886481850087631,10,,
global_whole_skeleton,small_world_k2,50,1.0,fixed_005,quadratic_minus_complete,complete,self_masking_gaussian_preserving,10,0.06040715050149007,0.045584429323281855,0.07522987167969829,0.01482272117820822,10,0.0,0.0,0.0,0.0,10,0.03153894387098054,0.023717011870212107,0.03936087587174897,0.007821932000768432,10,0.7,0.35444978558635615,1.0455502144136437,0.3455502144136438,10,-3.3,-4.129457626359342,-2.470542373640658,0.8294576263593417,10,0.0,0.0,0.0,0.0,10,-179.2,-263.3022317037963,-95.09776829620371,84.10223170379628,10,-1925.8,-1957.6310155662886,-1893.9689844337113,31.831015566288748,10,-1302.9,-1311.5663552880405,-1294.2336447119596,8.666355288040485,10,-0.5724712275147397,-0.5767071613776568,-0.5682352936518226,0.004235933862917119,10,-0.40179418859979654,-1.2659059383266498,0.4623175611270566,0.8641117497268531,10,,
global_whole_skeleton,small_world_k2,50,1.0,n_inverse_half,quadratic_minus_complete,complete,self_masking_gaussian_preserving,10,0.00588235294117645,-0.0008931414590910526,0.012657847341443953,0.006775494400267502,10,0.0,0.0,0.0,0.0,10,0.0029702970297030063,-0.00045099222191727134,0.0063915862813232836,0.0034212892516202777,10,0.3,-0.045550214413643764,0.6455502144136438,0.34555021441364375,10,-0.3,-0.6455502144136438,0.045550214413643764,0.34555021441364375,10,0.0,0.0,0.0,0.0,10,-59.1,-96.61431468893012,-21.58568531106988,37.51431468893012,10,-1919.0,-1954.5173883358268,-1883.4826116641732,35.5173883358269,10,-1289.3,-1293.389300556992,-1285.2106994430078,4.089300556992183,10,-0.5597792568723439,-0.5634580763363751,-0.5561004374083126,0.0036788194640312672,10,-0.09024020059987344,-1.0944488347178212,0.9139684335180742,1.0042086341179477,10,,
